[2025-07-11 09:16:55,518] 16 root - INFO - Initiate the data ingestion
[2025-07-11 09:17:00,598] 65 root - INFO - Performed train test split on the dataframe
[2025-07-11 09:17:00,598] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-11 09:17:00,598] 75 root - INFO - Exporting train and test file path.
[2025-07-11 09:17:00,698] 84 root - INFO - Exported train and test file path.
[2025-07-11 09:17:00,698] 18 root - INFO - Data Initiation Completed
[2025-07-11 09:17:00,701] 22 root - INFO - Initiate the data Validation
[2025-07-11 09:17:00,755] 32 root - INFO - Required number of columns:2
[2025-07-11 09:17:00,755] 33 root - INFO - Data frame has columns:31
[2025-07-11 09:17:00,755] 32 root - INFO - Required number of columns:2
[2025-07-11 09:17:00,755] 33 root - INFO - Data frame has columns:31
[2025-07-11 09:17:01,217] 24 root - INFO - data Validation Completed
[2025-07-11 09:17:01,217] 27 root - INFO - data Transformation started
[2025-07-11 09:17:01,218] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-07-11 09:17:01,218] 65 root - INFO - Starting data transformation
[2025-07-11 09:17:01,277] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-07-11 09:17:01,277] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-11 09:17:01,294] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-11 09:17:01,303] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-11 09:17:01,303] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-11 09:17:01,311] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-11 09:17:01,312] 31 root - INFO - data Transformation completed
