[2025-07-11 10:08:50,107] 20 root - INFO - Initiate the data ingestion
[2025-07-11 10:08:52,091] 65 root - INFO - Performed train test split on the dataframe
[2025-07-11 10:08:52,091] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-11 10:08:52,092] 75 root - INFO - Exporting train and test file path.
[2025-07-11 10:08:52,191] 84 root - INFO - Exported train and test file path.
[2025-07-11 10:08:52,191] 22 root - INFO - Data Initiation Completed
[2025-07-11 10:08:52,194] 26 root - INFO - Initiate the data Validation
[2025-07-11 10:08:52,225] 32 root - INFO - Required number of columns:2
[2025-07-11 10:08:52,225] 33 root - INFO - Data frame has columns:31
[2025-07-11 10:08:52,225] 32 root - INFO - Required number of columns:2
[2025-07-11 10:08:52,225] 33 root - INFO - Data frame has columns:31
[2025-07-11 10:08:52,429] 28 root - INFO - data Validation Completed
[2025-07-11 10:08:52,429] 31 root - INFO - data Transformation started
[2025-07-11 10:08:52,429] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-07-11 10:08:52,429] 65 root - INFO - Starting data transformation
[2025-07-11 10:08:52,461] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-07-11 10:08:52,461] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-11 10:08:52,471] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-11 10:08:52,476] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-11 10:08:52,476] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-11 10:08:52,483] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-11 10:08:52,484] 35 root - INFO - data Transformation completed
[2025-07-11 10:08:52,484] 37 root - INFO - Model Training sstared
