[2025-07-11 10:23:38,054] 20 root - INFO - Initiate the data ingestion
[2025-07-11 10:23:40,804] 65 root - INFO - Performed train test split on the dataframe
[2025-07-11 10:23:40,804] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-11 10:23:40,804] 75 root - INFO - Exporting train and test file path.
[2025-07-11 10:23:40,900] 84 root - INFO - Exported train and test file path.
[2025-07-11 10:23:40,901] 22 root - INFO - Data Initiation Completed
[2025-07-11 10:23:40,903] 26 root - INFO - Initiate the data Validation
[2025-07-11 10:23:40,934] 32 root - INFO - Required number of columns:2
[2025-07-11 10:23:40,934] 33 root - INFO - Data frame has columns:31
[2025-07-11 10:23:40,934] 32 root - INFO - Required number of columns:2
[2025-07-11 10:23:40,934] 33 root - INFO - Data frame has columns:31
[2025-07-11 10:23:41,141] 28 root - INFO - data Validation Completed
[2025-07-11 10:23:41,141] 31 root - INFO - data Transformation started
[2025-07-11 10:23:41,141] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-07-11 10:23:41,141] 65 root - INFO - Starting data transformation
[2025-07-11 10:23:41,179] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-07-11 10:23:41,179] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-11 10:23:41,189] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-11 10:23:41,198] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-11 10:23:41,198] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-11 10:23:41,214] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-11 10:23:41,215] 35 root - INFO - data Transformation completed
[2025-07-11 10:23:41,215] 37 root - INFO - Model Training sstared
[2025-07-11 10:27:15,273] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-11 10:27:15,274] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-11 10:27:15,274] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-11 10:27:15,274] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-11 10:27:15,274] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_11_2025_10_23_35/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908517030685616, precision_score=0.9887489052078421, recall_score=0.9929634641407307), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9896072344445944, precision_score=0.986013986013986, recall_score=0.9932267678136006))
[2025-07-11 10:27:15,277] 42 root - INFO - Model Training artifact created
